trip count,tripduration,start date,start time,stop date,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1,370,1/1/20,11:34:26 AM,1/1/20,11:40:36 AM,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,26182,Customer,1969,Unknown
1,114,1/1/20,11:38:16 AM,1/1/20,11:40:10 AM,3187,Warren St,40.7211236,-74.03805095,3273,Manila & 1st,40.72165072,-74.04288411,29283,Subscriber,1985,Male
1,1092,1/1/20,11:38:28 AM,1/1/20,11:56:41 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3272,Jersey & 3rd,40.72333159,-74.04595256,29578,Subscriber,1988,Male
1,801,1/1/20,11:38:43 AM,1/1/20,11:52:05 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3681,Grand St,40.71517768,-74.03768331,29534,Subscriber,1990,Female
1,748,1/1/20,11:39:36 AM,1/1/20,11:52:05 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3681,Grand St,40.71517768,-74.03768331,26305,Subscriber,1989,Male
1,222,1/1/20,11:40:34 AM,1/1/20,11:44:16 AM,3639,Harborside,40.7192517,-74.034234,3681,Grand St,40.71517768,-74.03768331,29205,Subscriber,1989,Male
1,348,1/1/20,11:45:23 AM,1/1/20,11:51:11 AM,3638,Washington St,40.7242941,-74.0354826,3278,Monmouth and 6th,40.72568548,-74.04879034,29444,Subscriber,1986,Female
1,320,1/1/20,11:47:14 AM,1/1/20,11:52:35 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3187,Warren St,40.7211236,-74.03805095,29228,Subscriber,1973,Male
1,319,1/1/20,11:47:23 AM,1/1/20,11:52:43 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3187,Warren St,40.7211236,-74.03805095,29480,Subscriber,1972,Male
1,229,1/1/20,11:47:42 AM,1/1/20,11:51:31 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29548,Subscriber,1988,Male
1,214,1/1/20,11:47:48 AM,1/1/20,11:51:23 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29620,Subscriber,1989,Female
1,337,1/1/20,11:48:38 AM,1/1/20,11:54:16 AM,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,29245,Subscriber,1991,Female
1,280,1/1/20,11:49:31 AM,1/1/20,11:54:11 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,29580,Subscriber,1981,Male
1,255,1/1/20,11:51:17 AM,1/1/20,11:55:33 AM,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,29680,Subscriber,1975,Male
1,592,1/1/20,11:54:47 AM,1/1/20,12:04:39 PM,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,26269,Subscriber,1958,Male
1,280,1/1/20,11:55:31 AM,1/1/20,12:00:11 PM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26272,Subscriber,1988,Female
